Francais,Lingala
Quel est ton nom ?,Nkómbó na yó náni?
Comment s'appelle-t-il ?,Nkómbó ná yě náni?
Où est ta maison ?,Ndako na yó wapi?
Il est parti pêcher.,Akeí ndɔ́bɔ.
Elle fait bouillir des œufs dans la cuisine.,Aákotɔkisa makeí na kúku.
Balaie le sol.,Kɔ́mbá ndáko.
Passe le balai.,Kɔ́mbá ndáko.
"Alors, on pourrait se parler un de ces jours; mais là il faut que je me mette sérieusement au travail.","Malámu, mɔkɔlɔ níni tokosolola malámu, mpóo, naákokɛndɛ mbángu na mosálá."
C'est ma troisième semaine.,Óyo mpɔ́sɔ ya mísátu.
Le garçon pose une question.,Mwána ya mobáli aákozóngisa na motúna.
Certaines personnes fermeront les fenêtres.,Batu bakofúnga maninísa.
Quelqu'un fermera la fenêtre.,Motu akofúnga lininísa.
Les enfants sont à gauche de la maison.,Bána bazalí na lɔbɔ́kɔ́ ya mwásí ya ndáko.
L'enfant est à gauche de la maison.,Mwána azalí na lɔbɔ́kɔ́ ya mwásí ya ndáko.
Les femmes sont en face de gros rochers.,Básí bazalí libosó ya mabángá mínɛ́nɛ.
La femme est en face d'un gros rocher.,Mwásí azalí libosó ya libángá monɛ́nɛ.
Mon fils est parti aujourd'hui.,Mwána na ngáí ya mobáli akeí lɛlɔ́.
"Si tu étais venu aujourd'hui, je t'aurais donné mille francs.","Sɔ́kɔ́ oyákí lɛlɔ́, mbɛlɛ napésákí yɔ́ nkámá mɔ́kɔ́."
On te demande au téléphone.,Baákobénga yɔ́ na tɛlɛfɔ́n.
Où as-tu l'intention d'aller ce soir?,Okɛndɛ wápi lɛlɔ́ na mpókwa?
Je voudrais que tu m'envoies ton livre de Lingala.,Nalingí ótíndela ngáí búuku na yɔ́ ya Lingála.
Je n'ai pas de voiture.,Nazali na motuka you.
Je ne parle pas espagnol.,Nalobi kihispania té.
Pardon. Quel est ton nom?,Limbisa ngáí. Nkómbó na yó náni?
"Bonjour, je m'appelle Pekka. Quel est ton nom?","Mbóte, nkómbó na ngáí Pekka. Nkómbó na yó náni?"
J'aimerais parler le lingala pour bien la connaître.,"Na lingaka koloba Lingala, mpo na yeba yango malamu."
